Species,Light_ISF,Light_Cat,Soil,Sterile,Conspecific,Myco_type,AMF,Phenolics,Lignin,NSC,Census,Time,Event,PlantSeason,EMF_log,Synthetic
Quercus alba,0.107,Med,Quercus alba,Non-Sterile,Conspecific,EMF,5.0,4.63,25.57,14.27,7.0,24.5,0,Summer,0.0,0
Prunus serotina,0.1,Med,Acer saccharum,Non-Sterile,Heterospecific,AMF,39.43,0.72,10.15,13.36,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.1,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,19.17,0.34,9.62,12.04,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.107,Med,Quercus alba,Non-Sterile,Conspecific,EMF,7.0,5.29,23.0,16.99,7.0,24.5,0,Summer,2.1186622548331173,0
Quercus alba,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,7.0,4.06,22.12,17.81,7.0,24.5,0,Summer,3.5613301331669613,0
Quercus rubra,0.1,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,33.0,3.65,22.8,16.52,7.0,24.5,0,Summer,2.4849066497880004,0
Quercus rubra,0.107,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,10.0,3.11,28.17,13.23,7.0,24.5,0,Summer,3.995076560563432,0
Quercus rubra,0.1,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,26.0,3.68,26.52,14.34,7.0,24.5,0,Summer,3.872450230308323,0
Quercus alba,0.107,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,4.0,3.99,22.14,17.94,7.0,24.5,0,Summer,3.3867603338643857,0
Quercus rubra,0.1,Med,Sterile,Sterile,Sterilized,EMF,4.0,3.39,24.93,14.81,7.0,24.5,0,Summer,0.0,0
Quercus rubra,0.1,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,9.0,2.79,26.79,10.15,7.0,24.5,0,Summer,2.772588722239781,0
Prunus serotina,0.107,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,30.83,0.67,10.36,13.68,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.083,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,9.0,4.97,20.8,18.72,7.0,24.5,0,Summer,3.838376465259848,0
Quercus alba,0.106,Med,Sterile,Sterile,Sterilized,EMF,10.3,3.47,19.59,19.48,33.0,115.5,0,Monsoon,2.0906287310704004,0
Acer saccharum,0.083,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,19.63,0.33,13.73,12.2,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.097,Med,Sterile,Sterile,Sterilized,AMF,9.0,0.07,7.91,11.99,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,17.7,3.7,19.54,19.67,33.0,115.5,0,Summer,3.4429789156771102,0
Quercus rubra,0.097,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,62.62,3.51,27.77,14.41,7.0,24.5,0,Summer,4.23410650459726,0
Prunus serotina,0.083,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,24.39,0.62,9.43,11.96,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.083,Med,Sterile,Sterile,Sterilized,EMF,14.0,3.45,23.58,15.62,7.0,24.5,0,Summer,1.8341801851120072,0
Prunus serotina,0.097,Med,Sterile,Sterile,Sterilized,AMF,8.3,0.06,7.76,11.84,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.106,Med,Sterile,Sterile,Sterilized,EMF,9.66,3.57,24.36,15.72,17.0,59.5,1,Summer,1.986503546020567,0
Acer saccharum,0.083,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,25.0,0.2,12.86,11.72,7.0,24.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.097,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,15.31,-0.06,13.74,12.22,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.083,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,24.39,0.62,9.43,11.96,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.097,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,33.29,0.57,10.94,13.76,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.083,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,13.0,-0.26,10.53,10.83,7.0,24.5,0,Monsoon,3.3575937441800234,0
Prunus serotina,0.083,Med,Acer saccharum,Non-Sterile,Heterospecific,AMF,14.0,0.58,2.23,8.68,7.0,24.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.083,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,13.0,-0.34,15.22,12.47,7.0,24.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.083,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,12.0,0.02,15.52,12.09,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus alba,0.097,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,26.0,4.97,19.2,21.66,7.0,24.5,0,Summer,3.633366744183677,0
Quercus alba,0.098,Med,Quercus alba,Non-Sterile,Conspecific,EMF,13.63,5.01,21.98,17.53,33.0,115.5,0,Summer,3.603049197508743,0
Quercus alba,0.082,Med,Sterile,Sterile,Sterilized,EMF,0.0,2.8,17.67,18.51,7.0,24.5,0,Summer,0.8628899551470399,0
Acer saccharum,0.1,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,13.21,-0.04,13.89,12.52,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,23.0,4.15,19.05,23.24,7.0,24.5,0,Summer,0.0,0
Acer saccharum,0.1,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,14.57,0.22,13.76,12.17,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.1,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,11.18,5.24,21.72,17.86,33.0,115.5,0,Summer,3.752558230777119,0
Quercus alba,0.082,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,17.0,4.8,23.26,16.43,7.0,24.5,0,Summer,2.5649493574615367,0
Quercus rubra,0.107,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,20.34,3.54,26.47,14.47,33.0,115.5,0,Summer,3.372797907140457,0
Acer saccharum,0.082,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,13.0,-0.09,13.88,12.32,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.082,Med,Sterile,Sterile,Sterilized,EMF,0.0,3.07,24.59,13.11,7.0,24.5,0,Summer,1.589235205116581,0
Quercus alba,0.082,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,42.35,4.39,19.42,19.28,7.0,24.5,0,Summer,3.603049197508743,0
Quercus alba,0.1,Med,Quercus alba,Non-Sterile,Conspecific,EMF,9.0,4.97,23.56,16.63,7.0,24.5,0,Summer,4.330733340286331,0
Quercus rubra,0.103,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,30.44,3.8,26.44,14.81,7.0,24.5,1,Summer,3.690627924648053,0
Quercus alba,0.08,Med,Sterile,Sterile,Sterilized,EMF,0.0,3.07,20.78,17.11,7.0,24.5,0,Summer,0.0,0
Quercus alba,0.107,Med,Sterile,Sterile,Sterilized,EMF,11.59,3.73,21.08,17.84,27.0,94.5,1,Summer,2.5556757206762075,0
Quercus alba,0.08,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,1.0,5.27,24.67,15.59,7.0,24.5,0,Summer,0.0,0
Quercus alba,0.1,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,23.5,5.01,18.78,22.58,33.0,115.5,0,Monsoon,3.408834808791367,0
Quercus alba,0.08,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,17.0,4.91,19.63,20.24,7.0,24.5,0,Summer,2.700689846695917,0
Acer saccharum,0.103,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,21.88,0.3,10.18,10.38,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus alba,0.107,Med,Sterile,Sterile,Sterilized,EMF,11.59,3.73,21.08,17.84,33.0,115.5,0,Summer,2.5556757206762075,0
Quercus rubra,0.107,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,23.34,3.42,23.82,15.66,18.0,63.0,1,Summer,3.351656936102019,0
Quercus rubra,0.1,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,20.4,3.66,26.29,14.71,33.0,115.5,0,Summer,3.800867956061984,0
Quercus alba,0.08,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,15.0,3.91,18.41,21.14,7.0,24.5,0,Summer,1.8578592709325787,0
Quercus rubra,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,25.8,3.38,24.3,15.31,18.0,63.0,1,Summer,3.358289880650879,0
Quercus alba,0.08,Med,Sterile,Sterile,Sterilized,EMF,0.0,3.07,19.85,18.05,7.0,24.5,0,Summer,0.0,0
Acer saccharum,0.103,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,14.82,-0.1,13.59,12.2,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.103,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,22.16,-0.64,13.88,12.13,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.103,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,36.0,3.79,25.0,15.42,7.0,24.5,0,Summer,3.145013976269745,0
Quercus rubra,0.08,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,37.0,3.43,26.81,14.09,7.0,24.5,0,Summer,2.727199019940971,0
Quercus alba,0.103,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,11.0,5.36,24.01,16.74,7.0,24.5,0,Summer,3.7005609588877744,0
Prunus serotina,0.103,Med,Sterile,Sterile,Sterilized,AMF,9.0,0.03,7.75,11.76,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.08,Med,Sterile,Sterile,Sterilized,EMF,0.0,3.38,22.52,16.39,7.0,24.5,0,Summer,0.0,0
Quercus rubra,0.08,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,50.0,3.44,27.07,14.3,7.0,24.5,0,Summer,2.772588722239781,0
Quercus rubra,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,25.8,3.38,24.3,15.31,18.0,63.0,1,Summer,3.358289880650879,0
Quercus alba,0.103,Med,Quercus alba,Non-Sterile,Conspecific,EMF,15.0,4.93,25.25,15.55,7.0,24.5,0,Summer,3.615501984309161,0
Quercus rubra,0.08,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,12.0,3.07,26.99,13.0,7.0,24.5,0,Summer,3.3112726741341683,0
Quercus alba,0.08,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,52.0,4.8,17.68,22.0,7.0,24.5,0,Summer,2.5832425505088623,0
Quercus rubra,0.107,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,27.66,3.8,26.54,14.73,33.0,115.5,0,Summer,3.658677945380815,0
Prunus serotina,0.08,Med,Acer saccharum,Non-Sterile,Heterospecific,AMF,31.81,0.71,9.35,11.66,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.08,Med,Sterile,Sterile,Sterilized,AMF,16.0,-0.03,12.14,12.38,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,25.8,3.38,24.3,15.31,18.0,63.0,1,Summer,3.358289880650879,0
Acer saccharum,0.08,Med,Sterile,Sterile,Sterilized,AMF,2.0,0.11,12.46,13.41,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.08,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,34.0,2.77,26.63,10.86,7.0,24.5,0,Summer,2.3282528397426234,0
Acer saccharum,0.08,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,14.69,0.09,13.72,12.11,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.08,Med,Sterile,Sterile,Sterilized,AMF,2.0,-0.03,10.32,12.06,7.0,24.5,0,Summer,3.3575937441800234,0
Quercus alba,0.103,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,33.0,4.82,25.1,15.28,7.0,24.5,0,Summer,3.3867603338643857,0
Quercus alba,0.103,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,10.0,4.61,25.57,15.17,7.0,24.5,0,Summer,1.928618651945252,0
Prunus serotina,0.08,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,32.34,0.37,8.48,11.26,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,15.35,4.15,18.88,23.37,33.0,115.5,0,Summer,3.414771501689273,0
Quercus rubra,0.1,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,20.4,3.66,26.29,14.71,33.0,115.5,0,Summer,3.800867956061984,0
Acer saccharum,0.095,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,26.58,0.04,15.8,12.61,7.0,24.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.082,Med,Sterile,Sterile,Sterilized,AMF,1.0,0.36,12.5,13.9,7.0,24.5,0,Summer,3.3575937441800234,0
Quercus rubra,0.082,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,14.0,2.53,25.88,10.96,7.0,24.5,0,Summer,2.5572273113676265,0
Quercus alba,0.095,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,15.0,4.77,26.11,14.49,7.0,24.5,0,Summer,4.214642950244135,0
Acer saccharum,0.095,Med,Sterile,Sterile,Sterilized,AMF,4.0,0.09,11.91,12.4,7.0,24.5,0,Summer,3.3575937441800234,0
Quercus alba,0.087,Med,Quercus alba,Non-Sterile,Conspecific,EMF,20.0,5.16,23.41,16.57,7.0,24.5,0,Summer,0.0,0
Acer saccharum,0.107,Med,Sterile,Sterile,Sterilized,AMF,7.86,0.06,12.75,12.25,19.0,66.5,1,Summer,3.3575937441800234,0
Quercus alba,0.095,Med,Quercus alba,Non-Sterile,Conspecific,EMF,8.0,3.4,24.4,11.83,7.0,24.5,0,Summer,1.308332819650179,0
Quercus alba,0.087,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,14.0,5.04,21.35,18.15,7.0,24.5,0,Summer,3.40684805317097,0
Prunus serotina,0.082,Med,Sterile,Sterile,Sterilized,AMF,6.98,0.29,7.23,11.54,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.082,Med,Sterile,Sterile,Sterilized,EMF,1.0,3.38,22.83,16.41,7.0,24.5,0,Summer,0.0,0
Quercus rubra,0.107,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,20.34,3.54,26.47,14.47,21.0,73.5,1,Summer,3.372797907140457,0
Quercus rubra,0.107,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,14.3,3.69,19.45,19.79,18.0,63.0,1,Summer,3.4236109764990554,0
Quercus rubra,0.1,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,20.11,3.52,26.8,14.56,33.0,115.5,0,Summer,3.2573270112424533,0
Quercus rubra,0.087,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,15.64,3.63,25.82,14.81,7.0,24.5,1,Summer,3.5052570515869337,0
Quercus alba,0.1,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,12.86,4.67,17.64,23.98,33.0,115.5,0,Summer,3.1488824530476656,0
Prunus serotina,0.082,Med,Prunus serotina,Non-Sterile,Conspecific,AMF,30.68,0.38,9.31,11.9,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.087,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,25.0,3.83,20.9,18.1,7.0,24.5,0,Summer,2.214846178686039,0
Quercus alba,0.107,Med,Sterile,Sterile,Sterilized,EMF,11.59,3.73,21.08,17.84,33.0,115.5,0,Summer,2.5556757206762075,0
Quercus alba,0.098,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,22.03,5.01,18.79,22.71,33.0,115.5,0,Summer,3.4384931664058525,0
Acer saccharum,0.083,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,14.7,-0.22,13.7,12.02,18.0,63.0,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.083,Med,Sterile,Sterile,Sterilized,AMF,10.01,0.08,7.38,11.59,17.0,59.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.083,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,22.69,5.07,20.06,20.32,20.0,70.0,1,Summer,3.6908774567766094,0
Quercus rubra,0.087,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,14.0,3.42,24.75,14.66,7.0,24.5,0,Summer,2.079441541679836,0
Acer saccharum,0.082,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,14.34,0.04,13.87,12.07,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.087,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,20.0,5.34,20.57,19.41,7.0,24.5,0,Summer,3.686125665917315,0
Quercus rubra,0.087,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,18.0,2.59,27.62,11.09,7.0,24.5,0,Summer,3.3203487937988347,0
Acer saccharum,0.097,Med,Sterile,Sterile,Sterilized,AMF,6.92,0.08,12.49,12.31,19.0,66.5,1,Summer,3.3575937441800234,0
Prunus serotina,0.087,Med,Sterile,Sterile,Sterilized,AMF,21.0,0.27,10.36,16.74,7.0,24.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.082,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,15.0,-0.4,13.33,13.68,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.087,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,22.29,3.35,24.9,14.95,7.0,24.5,1,Summer,3.3614165116503107,0
Quercus rubra,0.083,Med,Sterile,Sterile,Sterilized,EMF,4.89,3.39,24.95,14.51,17.0,59.5,1,Summer,1.5644405465033646,0
